3224	9	10813	17313	14745	12363	6.26	6.03
3233	9	10813	16840	14744	11840	6.38	6.13
3241	8	10895	16840	14744	11840	6.38	6.12
3249	8	10895	16326	15476	11432	6.30	6.23
3257	8	10895	16070	15476	11432	6.30	6.29
3266	9	10896	16070	15022	11432	6.41	6.29
3274	8	10896	15941	15278	11132	6.42	6.32
3282	8	10904	15941	15278	11132	6.42	6.32
3290	8	11161	15613	15297	13094	5.98	6.34
3299	9	11161	15613	15297	12839	6.03	6.34
3307	8	11092	15613	15805	12839	5.92	6.35
3315	8	11092	16385	15805	12025	6.10	6.17
3324	9	11244	16385	15805	12281	6.04	6.14
3332	8	10988	17063	14991	12281	6.22	6.05
3340	8	10988	17063	14991	12149	6.25	6.05
3348	8	10654	17063	14501	12149	6.37	6.12
3356	8	10654	16560	14500	11664	6.48	6.23
3364	8	10690	16560	14500	11664	6.48	6.23
3372	8	10690	15508	15229	11244	6.41	6.48
3381	9	10690	15765	15229	11245	6.41	6.41
3389	8	10681	15765	15275	11245	6.40	6.41
3397	8	10681	15635	15019	10936	6.54	6.45
3405	8	11211	15635	15019	10936	6.54	6.32
3413	8	10954	15333	15035	12378	6.19	6.45
3421	8	10954	15333	15035	12635	6.13	6.45
3429	8	10905	15333	15553	12635	6.02	6.47
3438	9	10905	16120	15553	12099	6.14	6.28
3446	8	10813	16120	15553	12099	6.14	6.30
3455	9	10812	16542	14767	12225	6.29	6.20
3463	8	10812	16799	14767	11969	6.35	6.14
3471	8	10505	16799	14297	11969	6.46	6.21
3480	9	10505	16396	14296	11515	6.57	6.31
3489	9	10589	16396	14296	11515	6.57	6.29
3497	8	10588	15598	15058	10869	6.54	6.48
